Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Kuwait,2020,76.92,100.0,24.8655164082064,2.97651238094813,75.90274694109075,98.0,24300.32943621,13703625159.630493,0.0,83.8955612182617,26449.598568762303,95.0
Latin America & Caribbean (excluding high income),2020,72.8304133374647,93.1897442650048,6.36402420852216,0.185549022638006,61.90041138088645,66.4616416445296,6789.39264970385,1090234235.3706055,19.3809408204516,99.7648696899414,2460181.216342166,83.0886048545718
Lao PDR,2020,68.497,100.0,4.17068821972207,0.0,20.878532263727948,90.0,2593.35509719847,-1128150000.0,63.71,89.0287551879883,153191.60252233502,79.0
Lebanon,2020,77.804,100.0,30.7660759332882,0.0330097948736169,71.40771682467653,0.0,5599.95752260733,-1045000000.0,11.075,11.849720517363949,95985.1663703327,74.0
Liberia,2020,60.948,8.35877132415771,0.0,2.63401841293494,24.3069416308781,85.0,597.529691893048,-152000000.0,47.911,70.92662331411157,1557.9975255344762,61.0
Libya,2020,72.472,0.0,10.7469992363923,0.69582744182854,67.21810766280419,74.0,7568.04201096325,-339643787.86657715,19.309,126.7814994415678,27644.191415678244,73.0
St. Lucia,2020,73.416,100.0,40.5439759662206,-0.381500327104277,41.454182535180735,89.0,8458.1627606739,-27060111.1111111,81.159,100.363471984863,123005.50949732354,89.0
Latin America & Caribbean,2020,73.0384740243916,93.5597025659682,6.95549272215341,0.26606197811031,62.293430258104536,68.3266920790277,7289.95703684922,-9956840.266324043,18.8654303653806,99.3527526855469,2872658.8672019094,82.9665003022595
Least developed countries: UN classification,2020,64.6347427935938,43.9608003673211,7.62839080117362,0.164794707848547,19.114623619381405,82.4922046744346,1095.77064832518,-9956840.266324043,65.2759970596077,73.8995208740234,3299183.9062235653,73.5282947244058
Low income,2020,62.6118200920998,28.3083675975487,10.1590771164952,0.133758214092051,19.220537787387457,81.2251686676825,736.93221698126,-9956840.266324043,66.2140585369407,68.4307327270508,3165094.3012364954,70.79357807522
Liechtenstein,2020,81.6585365853659,100.0,9.14935945754624,0.034977940143391,5.6893021442001555,28.071202230505605,157754.954373893,-695649309.3548889,85.584,104.37158203125,1354237.725024581,13.278693034928438
Sri Lanka,2020,76.393,100.0,6.15276760170129,0.0170391740212352,18.090816519460986,99.0,3893.84151516764,-2279523294.57101,81.287,98.2433090209961,317623.04557652585,96.0
Lower middle income,2020,68.6352093572576,85.6690437484837,9.35726370058128,0.328505392892433,24.962362288534905,86.0426083836206,2268.98274570582,-253125000.0,57.4943896338432,91.5844268798828,10888903.108623862,82.6898304464464
Low & middle income,2020,70.7635423594855,81.2787591809441,6.63704124267284,0.717664504700209,32.925906658290955,85.6856155190335,4723.79886732848,-253125000.0,48.8541376188008,89.3943328857422,23350667.970149398,82.803014924157
Lesotho,2020,54.693,34.9300880432129,17.5295732242903,-0.23491870916307533,21.109920860006014,96.0,989.847170700549,278972155.221124,70.972,89.86902569883932,2000.0,90.0
