Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Niger,2021,61.576,99.84179938587705,9.96780755630424,0.263214345237553,15.01998487426738,95.0,590.629454795899,273306265.640478,83.249,57.8646392822266,12543.02105995518,80.0
Nigeria,2021,52.676,33.36965986609425,4.54889766248502,0.409475145866528,22.134451557140096,75.0,2065.74906750923,-16951272486.8301,47.254,6.55176019668579,217831.26304513402,59.0
Nicaragua,2021,73.837,67.97695854200106,13.540976297144,0.0991934495548359,58.15485509007931,86.0,2045.53540189014,-898700000.0,40.723,101.08654272073409,3648.786871486809,83.0
Netherlands,2021,81.4609756097561,100.0,34.9096934885047,-4.03126501489294,69.97203630175818,79.51189800934549,57767.8788108173,-22708613953.488,7.428,31.7120208740234,24049.918487924617,93.0
Norway,2021,83.1634146341463,100.0,17.2814843281871,5.80887457859186,69.52666990789498,79.51189800934549,89154.2760934922,21111641443.539,16.677,99.77231196464774,19042.619849587325,97.0
Nepal,2021,68.45,100.0,6.5100970243855,0.0,19.510701455851745,95.0,1208.21853383767,197555506.765201,78.992,103.631309509277,176215.71946196072,90.0
Nauru,2021,63.617,10.1540889472181,12.67054476490874,0.0,90.96383059179436,99.0,10648.1413901852,88290170.9082767,0.0,46.4898300170898,0.0,98.0
New Zealand,2021,82.2073170731707,100.0,9.38741349806481,-0.427878720564804,74.90475650271446,79.60706860706853,48781.0266328884,-8094423258.707153,13.211,101.339286804199,8054.124780510436,91.0
OECD members,2021,78.7149219626425,99.91647410634585,13.9455180225808,2.97938841230486,66.06180765843692,79.60706860706853,42446.8593225577,-198970363.155698,18.7605815700234,100.94882430083362,5624371.934004039,93.5179121739054
Oman,2021,72.541,100.0,11.5506899922053,-0.449964114077613,66.54392134619002,99.0,19509.4664633867,-5992197659.29779,12.956,99.2078475952148,52119.82418747444,99.0
Other small states,2021,66.9895668139568,100.0,45.1752097272136,-9.7641055950609,42.09664302307715,85.2946848938557,13878.8148434096,-178785286.569718,36.848110926705,86.80243241871494,157496.39967149543,79.2900968956583
Pakistan,2021,66.098,32.2294248489834,4.68152755650102,0.0694878055850471,26.21937444291393,93.0,1505.01019279429,-4399999999.99912,62.56,61.1602897644043,1072799.3992335796,81.0
Panama,2021,76.223,87.09906069377666,23.2554516478867,0.206699440092068,60.513121573076205,99.0,14617.6044816372,-4343800000.0,31.225,96.8589865310347,19623.088587390142,80.0
Peru,2021,72.377,91.15037928988932,5.93104432076013,0.777162021181287,58.28385598141699,87.0,6621.57433601881,-15753234035.9738,21.5,116.20622253418,191076.26862210222,78.0
Philippines,2021,69.266,96.76194000578562,13.4745050025221,0.571225138010585,27.468133322529297,47.0,3460.53096344408,14087397852.4916,52.316,94.8242874145508,175169.8048613486,57.0
Palau,2021,61.641,100.19633708003482,26.7979797979798,-0.3245773047413252,88.51773222051156,82.571779704508,12083.8881491345,5000000.0,18.517,101.632652282715,93238.68538171845,93.0
Papua New Guinea,2021,65.351,87.9172790525509,8.2741113538708,6.35834665577871,49.70821921508241,42.0,2672.94579035518,-1094640389.87688,86.544,95.2380981445313,2790.1953570072073,38.0
Poland,2021,75.6024390243903,100.0,19.216571189673,1.38672038470275,68.53820598006655,91.0,17999.9099495446,-31961469742.8727,39.925,96.9081347056185,116068.18533202261,80.0
Pre-demographic dividend,2021,59.87258063232,100.0,7.85678175755806,0.1907207499775,22.089824613587325,77.5665627848268,1418.59332595843,12527971805.638672,56.9686203484179,69.45592411866426,2222549.708134301,67.280578355965
Puerto Rico,2021,80.162,100.0220213182116,9.954981030856988,0.0011641558493575843,5.866018356854511,33.79100801821187,32640.710335631,-32944900000.0,6.408,45.456428527832,1280819.4057550356,19.027543496801172
"Korea, Dem. People's Rep.",2021,73.284,99.92155919417034,9.954981030856988,0.0011641558493575843,35.47947762201875,95.0,2432.41421904928,-699400000.0,37.358,45.456428527832,1506517.2885997929,42.0
Portugal,2021,81.0731707317073,100.0,20.5984385932604,-0.617058828087638,67.39483294168485,93.2478991596638,24567.5092651,-3070447068.27514,33.151,97.3324584960938,71795.15563605027,98.0
